Mentor_Id,UDISE
957620,9040201401
957620,9040209801
957625,9040900301
957625,9040900404
957625,9040900603
957625,9040901201
957625,9681107201
957625,9681107302
957625,9681111501
957625,9681300301
957625,9681300303
957635,9040900301
957635,9040900404
957635,9040900603
957635,9040901201
957635,9681106701
957635,9681106801
957635,9681107201
957635,9681107302
957635,9681111501
957635,9681300301
957635,9681300303
957645,9040209801
957647,9040704401
957647,9040712101
957647,9040714401
957647,9681400501
957647,9681401701
957647,9681402402
957647,9681408001
957647,9681409601
957648,9040703601
957648,9040707802
957648,9681701801
957648,9681703701
957648,9681705201
957648,9681707101
957648,9681709501
957652,9041200601
957652,9041203301
957652,9041211801
957652,9681000802
957652,9681001101
957652,9681001201
957652,9681007101
957653,9041404001
957655,9040301001
957655,9680700201
957655,9680700303
957655,9680700401
957655,9680700701
957655,9680705001
957655,9680706901
957656,9040305002
957656,9680405401
957671,9040805201
957671,9680100101
957671,9680100201
957671,9680108202
957671,9680108501
957671,9680108901
957671,9680111201
957676,9040902201
957676,9040902802
957676,9040904601
957676,9681104101
957676,9681104201
957676,9681109501
957676,9681301501
957676,9681301901
957678,9040801203
957678,9040804704
957678,9040806001
957678,9040808501
957678,9680106401
957678,9680106701
957678,9680106802
957678,9680106901
957678,9680107302
957678,9680110501
957705,9681111301
957826,9620604201
957826,9620604701
957826,9620606601
957826,9620607301
957826,9620607502
957881,9620604701
957881,9620606601
957881,9620607301
957881,9620607502
957965,9582000504
957965,9582002309
957965,9582003502
957965,9582004501
957965,9582005602
958101,9581300603
958101,9581301102
958101,9581302602
958101,9581304001
958370,9530302701
958370,9530302904
958370,9530303101
958370,9530305901
958370,9530305904
958370,9530306001
958370,9530306004
958370,9530306201
958370,9530306301
958370,9530306501
958370,9530308801
958409,9530302701
958409,9530302904
958409,9530303101
958409,9530305901
958409,9530305904
958409,9530306001
958409,9530306004
958409,9530306201
958409,9530306301
958409,9530306501
958409,9530308801
958828,9200804801
958898,9201803501
958898,9201803601
958898,9201804101
958906,9201800903
958906,9201802101
958906,9201803401
958906,9201805501
958910,9201803501
958910,9201803601
958910,9201804101
958981,9201800903
958981,9201802101
958981,9201803401
958981,9201805501
959013,9600709601
959013,9600710801
959013,9601705706
959030,9600203501
959030,9600203701
959030,9600802204
959053,9600304002
959053,9600304203
959053,9600602602
959053,9601000201
959055,9600203501
959058,9601701402
959063,9600304002
959067,9600101707
959067,9600606301
959067,9601405002
959078,9600202202
959095,9600202202
959095,9600800901
959105,9600403801
959109,9600406501
959109,9601101701
959109,9601104201
959112,9600405001
959112,9600405002
959112,9601101601
959157,9600405001
959157,9600405002
959157,9601101601
959558,9700309703
959558,9700309902
959558,9700402901
959560,9700411902
959560,9700504901
959565,9700309703
959565,9700309902
959565,9700402901
959594,9700200401
959594,9700200502
959594,9700202602
959594,9700202701
959594,9700203801
959594,9700208201
959595,9700200401
959595,9700200502
959595,9700202701
959608,9700414202
959615,9700111101
959615,9700111201
959615,9700303102
959615,9700311503
959615,9700414202
959618,9700319601
959618,9700410901
959618,9700412802
959618,9700412903
959622,9700111101
959622,9700111201
959622,9700303102
959622,9700311503
959625,9700411902
959625,9700504901
959630,9700414202
959644,9700202101
959644,9700202104
959644,9700203702
959644,9700203707
959644,9700205701
959644,9700208001
959644,9700208901
959644,9700416001
959644,9700421601
959656,9700406401
959656,9700417102
959656,9700502801
959656,9700508701
959657,9700406701
959657,9700406801
959657,9700501601
959657,9700503202
959660,9700409701
959660,9700409801
959660,9700503501
959660,9700509601
959664,9700412102
959664,9700412104
959664,9700501002
959664,9700508101
959665,9700320502
959665,9700320506
959665,9700402402
959665,9700402403
959665,9700413502
959665,9700413601
959677,9700412102
959677,9700412104
959677,9700501002
959677,9700508101
959680,9700406401
959680,9700417102
959680,9700502801
959680,9700508701
959681,9700409701
959681,9700409801
959681,9700503501
959681,9700509601
959682,9700303601
959682,9700314001
959682,9700400901
959689,9700202101
959689,9700202104
959689,9700203702
959689,9700203707
959689,9700205701
959689,9700208001
959689,9700416001
959689,9700421601
959693,9700319601
959693,9700410901
959693,9700412802
959693,9700412903
959704,9700320502
959704,9700320506
959704,9700402402
959704,9700402403
959704,9700413502
959704,9700413601
959706,9700406701
959706,9700406801
959706,9700501601
959706,9700503202
959715,9700303601
959715,9700314001
959715,9700400901
959757,9160202501
959757,9160202803
959757,9160604602
959757,9160604801
959757,9160701001
959757,9160701101
959802,9160202501
959802,9160202803
959802,9160604602
959802,9160604801
959802,9160701001
959802,9160701101
959818,9160504001
959818,9160905705
959847,9690307401
959847,9690307701
959847,9690401401
959847,9690406401
959847,9690406801
959847,9690703301
959847,9690703302
959847,9691106801
959847,9691302601
959847,9691303001
959847,9691401601
959847,9691403801
959847,9691411102
959860,9690307401
959860,9690307701
959860,9690401401
959860,9690406401
959860,9690406801
959860,9690703301
959860,9690703302
959860,9691106801
959860,9691302601
959860,9691303001
959860,9691401601
959860,9691403801
959860,9691411102
959924,9210602001
959924,9210602601
960015,9100100402
960015,9100101005
960015,9100102201
960015,9100106101
960065,9180203801
960081,9180205001
960081,9180205401
960081,9180606701
960081,9180607101
960083,9180301001
960083,9180301408
960083,9180500501
960096,9180210802
960096,9180614001
960096,9180810802
960096,9180813701
960132,9180203801
